ls_states,ground_truth,observed_nb
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 363, 361, 281, 357, 21, 424]",14,6
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 168, 467, 166]",6,1
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",9,0
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",9,1
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 73]",24,8
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 271, 267]",5,1
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 31, 35, 302]",11,4
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 267]",2,3
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 314, 302]",18,4
"[204, 130, 127, 373]",311,68
"[204, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 487]",22,4
"[204, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 491]",9,2
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 44]",13,10
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 240, 341, 365]",10,6
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 239, 44]",3,1
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 365]",15,4
"[204, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 253, 250, 40]",7,1
"[204, 130, 127, 372, 119, 114, 116, 380, 333, 231, 234, 40]",21,11
"[204, 130, 127, 372, 119, 114, 116, 380, 333, 230, 261, 243, 249]",26,9
"[204, 130, 127, 372, 119, 114, 116, 380, 333, 230, 261, 242, 247]",10,5
"[204, 130, 127, 372, 119, 114, 116, 379, 347, 59, 68, 255, 488, 322]",2,0
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 42, 10, 363, 361, 281, 357, 22, 383, 493, 322]",3,1
"[204, 130, 127, 372, 119, 114, 116, 379, 348, 471, 258, 479, 486, 488, 322]",9,3
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 240, 341, 362, 11, 41, 358, 370, 14, 493, 322]",3,2
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 239, 41, 358, 370, 14, 493, 322]",4,2
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 452, 143, 150]",11,4
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 382]",13,6
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 94]",31,11
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 275, 272]",10,3
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 3, 431, 518, 432, 23, 272]",6,2
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 278, 4, 273, 23, 272]",1,0
"[204, 130, 127, 372, 119, 114, 116, 380, 334, 237, 469, 169, 468, 407, 30, 315, 277, 411, 268]",14,1
"[203, 51, 88, 0, 77, 79, 326, 82, 109, 429]",96,24
"[204, 130, 127, 374]",99,39
"[206, 199, 193, 194, 196, 217, 307]",211,61
"[204, 130, 127, 372, 119, 114, 116, 380, 335]",24,3
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 100, 338]",17,8
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 99, 142]",18,2
"[204, 130, 127, 372, 119, 114, 116, 378, 182, 177]",1,1
"[204, 130, 127, 372, 119, 114, 116, 378, 182, 178]",4,2
"[204, 130, 127, 372, 119, 115, 405, 96, 76, 339, 92, 103, 453, 160, 454, 70, 318]",1,1
"[204, 130, 127, 372, 119, 115, 405, 96, 75, 100, 337, 70, 318]",4,1
"[204, 130, 127, 372, 119, 114, 117, 376, 226, 28, 241]",153,50
"[206, 199, 193, 194, 196, 217, 305, 227, 353, 207, 222, 226, 28, 241]",83,28
"[473, 390, 477, 120, 123, 309, 124, 2, 197, 53]",21,5
"[473, 390, 477, 120, 123, 309, 124, 2, 198]",41,19
"[476, 471, 259]",81,9
"[476, 471, 258, 479, 486, 488, 321, 497]",221,70
"[473, 389, 115, 405, 96, 76, 339, 93, 450, 89, 29, 445, 441, 402, 90, 91, 435, 381, 154, 422]",88,28
"[473, 389, 115, 405, 96, 76, 339, 92, 103, 452, 143, 149, 158, 155, 154, 422]",18,10
"[473, 389, 115, 405, 96, 75, 100, 337, 73]",136,43
"[473, 389, 114, 116, 380, 334, 237, 469, 169, 468, 407, 31, 35, 302]",86,29
